link,title,price,rating,review
/Backpack-Toddler-Animal-Cartoon-Red-Stawberry/dp/B089WFG3BK/ref=sxin_25_trfob_5_B089WFG3BK?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B089WFG3BK&pd_rd_r=4cf2547a-0197-4302-b2fc-1e4be47b378a&pd_rd_w=4YKRH&pd_rd_wg=2YGGD&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=SJ3AWDERFG4XV5QMCWZV&qid=1676115378&sprefix=ba%2Caps%2C283&sr=1-6-cc7a04fe-cc55-42ad-b883-1b910070c86a#customerReviews,,,,
/Blue-Tree-Backpack-Children-Elephant/dp/B08ZVRKQHK/ref=sxin_25_trfob_6_B08ZVRKQHK?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08ZVRKQHK&pd_rd_r=4cf2547a-0197-4302-b2fc-1e4be47b378a&pd_rd_w=4YKRH&pd_rd_wg=2YGGD&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=SJ3AWDERFG4XV5QMCWZV&qid=1676115378&sprefix=ba%2Caps%2C283&sr=1-7-cc7a04fe-cc55-42ad-b883-1b910070c86a#customerReviews,Blue Tree Kids School Bag Combo Soft Plush Backpack Cartoon Bags Mini Travel Bag for Children Girls Boys (Ch Elephant & Green Panda),₹399,5.0 out of 5 stars,1 rating
/gp/goldbox/,,,,
/Amazon-Brand-Solimo-so_flingyrqba_6-Gym/dp/B084DQ182R/ref=sxin_25_trfob_7_B084DQ182R?content-id=amzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee%3Aamzn1.sym.663389f5-ce48-431d-bf46-d5a988f9fcee&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B084DQ182R&pd_rd_r=4cf2547a-0197-4302-b2fc-1e4be47b378a&pd_rd_w=4YKRH&pd_rd_wg=2YGGD&pf_rd_p=663389f5-ce48-431d-bf46-d5a988f9fcee&pf_rd_r=SJ3AWDERFG4XV5QMCWZV&qid=1676115378&sprefix=ba%2Caps%2C283&sr=1-8-cc7a04fe-cc55-42ad-b883-1b910070c86a#customerReviews,Amazon Brand - Solimo Polyester Duffel Gym Bag with Shoe Compartment,₹549.00,4.2 out of 5 stars,95 ratings
/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ8FFBZ/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1676115378&sprefix=ba%2Caps%2C283&sr=8-11#customerReviews,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,₹899.00,3.9 out of 5 stars,"8,797 ratings"
/gp/goldbox/,,,,
/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_12?crid=2M096C61O4MLT&keywords=bags&qid=1676115378&sprefix=ba%2Caps%2C283&sr=8-12#customerReviews,,,,
/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1676115378&sprefix=ba%2Caps%2C283&sr=8-13#customerReviews,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849.00,3.9 out of 5 stars,"2,148 ratings"
/gp/goldbox/,,,,
/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1676115378&sprefix=ba%2Caps%2C283&sr=8-14#customerReviews,,,,
/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bags&qid=1676115378&sprefix=ba%2Caps%2C283&sr=8-15#customerReviews,,,,
/gp/goldbox/,,,,
/gp/bestsellers/luggage/1984997031/ref=sr_bs_15_1984997031_1,,,4.2 out of 5 stars,
/Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1676115378&sprefix=ba%2Caps%2C283&sr=8-16#customerReviews,,,,
/gp/goldbox/,,,,
